taxa,count
Nabis_spp_,2
Nabis_spp_,2
Nabis_spp_,1
Toxomerus_marginatus,3
Toxomerus_marginatus,4
Toxomerus_marginatus,10
Platycheirus_spp,1
Sphaerophoria_spp,1
Dolichopodidae,2
Dolichopodidae,1
Chrysoperla_spp,1
Chrysopidae_spp_larvae,1
Araneae,4
Araneae,2
Opiliones,2
Opiliones,1
Halictidae,1
Apidae_unknown,1
Chauliognathus_pensylvanicus,1
Chauliognathus_pensylvanicus,6
Sinea_diadema_nymph,2
Sinea_diadema_nymph,2
Tachinidae_unknown,1
Coenosia_spp,1
Braconidae_unknown,1
Eulophidae,1
Eulophid_116,1
Eurytomid_A061,2
Eurytomid_A081,2
Eurytomid_A104,4
Eurytoma_spp,2
Eucoilinae,1
Evaniidae,2
unknown_PW,1
