taxa,count
Harmonia_axyridis,1
Harmonia_axyridis,1
Harmonia_axyridis,1
Orius_insidiosus,4
Orius_insidiosus,24
Orius_insidiosus,17
O_insidiosus_nymph,2
O_insidiosus_nymph,1
Nabis_spp_,1
Nabis_spp_,2
Nabis_spp_nymph,1
Nabis_spp_nymph,1
Toxomerus_marginatus,1
Toxomerus_marginatus,2
Toxomerus_marginatus,2
Toxomerus_geminatus,1
Helophilus_fasciatus,2
Dolichopodidae,1
Chrysopidae_spp_larvae,1
Hemerobius_spp,1
Hemerobius_spp_larvae,1
Araneae,19
Araneae,5
Araneae,6
Opiliones,1
Halictidae,2
Halictidae,1
Chauliognathus_pensylvanicus,1
Chauliognathus_pensylvanicus,2
Sinea_diadema,1
Sinea_diadema,2
Coenosia_spp,2
Coenosia_spp,4
Coenosia_spp,3
Ichneumonidae,1
Ichneumonidae,2
Braconidae_unknown,1
Alysiinae,1
Alysiinae,1
Cotesia_spp,1
Eulophidae,3
Encyrtidae,1
Eurytomid_A052,1
Pteromalidae,2
Torymidae,1
Neralsia_spine,1
Neralsia_spine,1
