taxa,count
Cycloneda_munda,2
Nabis_spp_,1
Berytidae,1
Podisus_maculiventris_nymph,1
Podisus_maculiventris_nymph,1
Toxomerus_marginatus,2
T_geminatus,1
Eristalis_spp,1
Platycheirus_scambus,1
Chrysoperla_spp,1
Chrysoperla_spp,3
Chrysoperla_spp_larvae,1
Chrysoperla_spp_larvae,1
Araneae,6
Araneae,10
Opilliones,1
Opilliones,1
Ceratina,1
Isohydnocera_tabida,1
Tachinidae_,1
Sciomyzidae,1
Cotesia_spp,1
Chalcididae,1
Chalcididae,1
Eurytomid_A070,1
Eurytoma,1
unknown_PW,5
Braconidae_unknown,2
Braconidae_unknown,1
