Month,Block,Treatment,trt_REP,Partition,Sample_REP,Habitat,Comments,Person_who_ID,num_times_ID'd,Date,Plot_ID,Coccinellidae_larvae_unknown,Coccinellidae_pupae,Harmonia_axyridis,Cycloneda_munda,C_munda_larva,Cycloneda_polita,Hippodamia_convergens,Hippodamia_parenthesis,Hyperaspis_undulata,Coccinella_septempunctata_L,Coleomegilla_maculata,C_mac_larvae,Orius_insidiosus,O_insidiosus_nymph,Nabis_spp_,Nabis_spp_nymph,Nabicula_spp,Nabicula_spp_nymph,Berytidae,Berytidae_nymph_younger,Berytidae_nymph,Podisus_maculiventris,Podisus_maculiventris_nymph,Syrphidae_unknown,Toxomerus_marginatus,T_geminatus,T_politus,Allograpta_obliqua,Melanostoma_scalare,Melanostoma_mellinum,Epistrophe_spp,Eristalis_spp,Heliophilus_spp,Orthoventris_nitida,Palpada_vinetorum,Paragus_spp,Cheilosia_spp_,Platycheirus_scambus,Syritta_pipiens,Sphaerophoria_spp,Chamaemyiidae,Dolichopodidae,Chrysoperla_spp,Chrysoperla_spp_larvae,Hemerobius_spp,Hemerobius_spp_larvae,Aphidiinae,Aphelinidae,Araneae,Opilliones,Coenagrionidae,Lestidae,Halictidae,Apidae,Apis_mellifera,Bombus,Melissodes,Nomada_spp,Andrenidae,Colletidae,Hylaeus_spp,Megachilidae,Ceratina,Apoidea_unknown,Crabronidae,Cerceris_kennicotii,Sphecidae_unknown,Alysson_spp_A069,Chrysididae,Dryinidae,Bethylidae,Tiphiidae,Pompilidae,Vespidae,Polistes_spp,Cantharidae_unknown,Chauliognathus_pensylvanicus,Chauliognathus_marginatus,Trypherus_latipennis,Ditemuns_spp,Carabidae_unknown,Lebia_spp,Cicindellidae,Ellychnia_spp,Photinus_pyralis,Lucidota_atra,Enoclerus_rosamarus,Isohydnocera_tabida,Collops_spp,Collops_tricolor,Collops_pallipes,Staphylinidae,Reduviidae_unknown,Reduviid_nymph,Phymata_spp_,Simea_diadema,Sinea_diadema_nymph,Tachinidae_,Aphidoletes_aphidimyza,Asilidae,Coenosia_spp,Conopidae,Empididae,Micropezidae,Rhagionidae,Sciomyzidae,Panorpa,Brachistini,Braconinae,Chelioninae,Cotesia_spp,Euphorinae,Microplitis,Rogadinae,Bracon_cf_intercessor,Habracon,Chalcididae,Eulophidae_unknown,Eulophid_A054,Encyrtidae,Eupelmidae,Eurytomidae_unknown,Eurytomid_A038,Eurytomid_A039,Eurytomid_A047,Eurytomid_A052,Eurytomid_A053,Eurytomid_A056,Eurytomid_A058,Eurytomidae_A060,Eurytomid_A061,Eurytomid_A068,Eurytomid_A070,Eurytomid_A072,Eurytomid_A080,Eurytomid_A081,Eurytomid_104,Tetramesa_elongata,Eurytoma,Mymaridae,Ormyridae,Perilampidae_green,Perilampidae_A105,Pteromalidae_unknown,Pteromalinae,Torymidae,Figitinae,Eucoilinae,Neralsia_spine,Ceraphronidae,Megaspilidae,Diapriidae,Platygastridae,Scelionidae,Gyron,unknown_PW,Ichneumonidae,Gelis,Aptesis,Exochus_semirufus,Braconidae_unknown,A042,A082,A091,A097,A100,Agathidinae,Alysiinae
1,1,1,1,1,1,1,0,0,0,5_18_2010,BW1B1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,1,1,1,2,1,0,0,0,5_18_2010,BW1B2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,1,1,1,3,1,0,0,0,5_18_2010,BW1B3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,4,0,0,0,2,0,0,0,0,0,0,0
1,1,2,1,1,1,1,0,0,0,5_18_2010,BW2B1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,3,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0
1,1,2,1,1,2,1,0,0,0,5_18_2010,BW2B2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,4,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1,1,2,1,1,3,1,0,0,0,5_18_2010,BW2B3,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,2,1,2,1,1,0,0,0,5_18_2010,BW2M1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,2,1,2,2,1,0,0,0,5_18_2010,BW2M2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1,2,1,2,3,1,0,0,0,5_18_2010,BW2M3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
1,1,3,1,1,1,1,0,0,0,5_18_2010,BW3B1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
