taxa,guild,notes
101,NE,
103,NE,
104,NE,
105,NE,
106,NE,
107,NE,
111,NE,
113,NE,
115,NE,
116,NE,
117,NE,
118,NE,
114_bushy_antenna_Eulophidae,NE,
13Spotted,NE,
14Spotted,NE,
15Spotted,NE,
2Spotted,NE,
2Spotted,NE,
7spotted,NE,
9Spotted,NE,
A042,NE,
A047,NE,
A082,NE,
A083,NE,
A084,NE,
A087,NE,
A090,NE,
A091,NE,
A092_Bracon_spp,NE,
A093_Aphidiine,NE,
A097,NE,
A097,NE,
A100,NE,
Agathidinae,NE,
Allograpta_obliqua,NE,
Alysiinae,NE,
Alysson_spp_A069,NE,
Anacharis_spp_A064,NE,
Andrenidae,P,
Anthocoridae,NE,
Aphelinidae,NE,
Aphidiinae,NE,
Aphidoletes_aphidimyza,NE,
Apidae,P,
Apidae_unknown,P,
Apis_mellifera,P,
Apis_spp,P,
Apoidea_unknown,P,
Aptesis,NE,
Araneae,NE,
Araneidae,NE,
Asaphes_spp,NE,
Asilidae,NE,
Berytidae,I,
Berytidae_nymph,I,
Berytidae_nymph_younger,I,
Bethylidae,NE,
Bombus,P,
Bombus_spp,P,
Bombyliidae,P,
Brachistini,NE,
Bracon_cf_intercessor,NE,
Braconidae_unknown,NE,
Braconinae,NE,
C_mac_larvae,NE,
C_munda_larva,NE,
Cantharidae_unknown,NE,
Cantharidae_unknown_larvae,NE,
Carabidae,NE,
Carabidae_unknown,NE,
Ceraphronidae,NE,
Ceratina,P,
Ceratina_spp,P,
Cerceris_kennicotii,NE,
Chalcididae,NE,
Chamaemyiidae,NE,
Chauliognathus_marginatus,NE,*
Chauliognathus_pensylvanicus,NE,*
Cheilosia_spp,.,unsure about feeding guild
Chelioninae,NE,Watch_for_misspelling_as_Cheloninae
Chrysididae,NE,
Chrysoperla_spp,NE,
Chrysoperla_spp_larvae,NE,
Chrysopidae_spp_larvae,NE,
Chrysopidae_Adult,NE,
Cicindellidae,NE,
Coccinella_septempunctata_L,NE,
Coccinellidae_larvae_unknown,NE,
Coccinellidae_pupae,NE,
Coccinellidae_unknown,NE,
Coenagrionidae,NE,
Coenosia_spp,NE,
Coleomegilla_maculata,NE,
Coleomegilla_maculata_larvae,NE,
Colletidae,P,
Collops_pallipes,NE,
Collops_spp,NE,
Collops_tricolor,NE,
Conopidae,I,"pollinator, parasite/parasitoid"
Convergent,NE,
Cotesia_spp,NE,
Crabronidae,NE,
Cycloneda_munda,NE,
Cycloneda_munda_larvae,NE,
Cycloneda_polita,NE,
Cynipoid_A067,NE,
Cynipoidea,NE,
Diapriidae,NE,
Dictynidae,NE,
Ditemuns_spp,H,
Dolichopodidae,NE,
Dolichopodidae_Adult,NE,
Dryinidae,NE,
Ellychnia_spp,I,
Empididae,NE,
Encyrtidae,NE,
Enoclerus_rosamarus,I,maybe H
Epistrophe_spp,NE_P,Both NE & P
Eristalis_spp,NE_P,Both NE & P
Eucoilinae,NE,
Eulophid_114,NE,
Eulophid_116,NE,
Eulophid_A054,NE,
Eulophidae,NE,
Eulophidae_unknown,NE,
Eupelmidae,NE,
Euphorinae,NE,
Eury_A053,NE,
Eury_A056,NE,
Eurytoma,NE,
Eurytoma_spp,NE,
Eurytomid_104,NE,
Eurytomid_A038,NE,
Eurytomid_A039,NE,
Eurytomid_A047,NE,
Eurytomid_A052,NE,
Eurytomid_A053,NE,
Eurytomid_A056,NE,
Eurytomid_A058,NE,
Eurytomid_A061,NE,
Eurytomid_A068,NE,
Eurytomid_A070,NE,
Eurytomid_A072,NE,
Eurytomid_A076,NE,
Eurytomid_A080,NE,
Eurytomid_A081,NE,
Eurytomid_A104,NE,
Eurytomidae_A060,NE,
Eurytomidae_unknown,NE,
Evaniidae,NE,
Exochus_semirufus,NE,
EyeSpotted,NE,
Figitid_A057,NE,
Figitinae,NE,
Figitinae_A063,NE,
Gasteruptiidae,NE,
Gelis,NE,
Gyron,NE,
H_bigeminata,NE,
H_binotata,NE,
H_glacialis,NE,
H_proba,NE,
H_undulata,NE,
Habracon,NE,
Halictidae,P,
Harmonia_axyridis,NE,
Harmonia_axyridis_larvae_,NE,
Heliophilus_spp,NE_P,unsure about feeding guild
Helophilus_fasciatus,NE_P,
Hemerobiidae_Adult,NE,
Hemerobius_spp,NE,
Hemerobius_spp_larvae,NE,
Hippodamia_convergens,NE,
Hippodamia_convergens_larvae,NE,
Hippodamia_parenthesis,NE,
Hylaeus_spp,P,
Hyperaspis_undulata,NE,
Ichneumonidae,NE,
Isohydnocera_tabida,I,
Lacewing_Larvae,NE,
Lampyridae,I,
LB_Larvae,NE,
Lebia_spp,H,
Lebia_viridis,H,
Lestidae,NE,
Linyphiidae,NE,
Lucidota_atra,I,
Lycosidae,NE,
MALB,NE,
Megachilidae,P,
Megaspilidae,NE,
Melanostoma_mellinum,NE_and_P,
Melanostoma_scalare,NE_and_P,
Melissodes,P,
Melyrid_unknown,I,
Micropezidae,I,
Microplitis_spp,NE,
Mymaridae,NE,
Nabicula_spp,NE,
Nabicula_spp_nymph,NE,
Nabidae,NE,
Nabis_spp,NE,
Nabis_spp_nymph,NE,
Neralsia_spine,NE,
Nomada_spp,.,unsure about feeding guild
