Date,Site,Month,Block,Treatment,trt_REP,Partition,Sample_REP,Habitat,Total,TOTAL_major_soybean_pests,TOTAL_major_cornsoy_pests,SAWFLY_larva,Tenthredinidae,Formicidae,Collembola,Psocoptera,Psyllidae,Thrips,mite,Aphididae,Aphididae_alates,parasitized_aphids,Anthomyiidae,Rivellia_spp.,Chloropidae,Muscoidea_unknown,Muscidae,Lucilia_spp.,Pollenia_spp.,Musca_autumnalis,Bibionidae_Pentheria_heteroptera,Calliphoridae,Ceratopogonidae,Chaetopsis_D019,D004,Chironomidae,Culicidae,Ephydridae,fly_D013,fly_D014,fly_D016,Kelp_fly,Limoniidae,Lonchopteridae,minute_flies,Mycetophilidae,Phoridae,Sarcophagidae,Sciaridae,Sepsidae,Sphaeroceridae,Stratiomyidae_,Tabanidae,Tephritidae,Tipulidae,Delphinia,Unknown_flies,tiny_maggot,Unknown_hemipteran,Lygus_spp.,Lygus_spp._nymph,Halticus_bractatus,Green_Pentatomidae,Brown_Pentatomid,Helcostethus,unknown_Pentatomidae,Neottiglossa_,Pentatomidae_nymph,potato_leafhopper,Threecornered_hopper,Lygaeidae,Lygaeus,Neurocolpus_nubilus,Miridae,Mirid_nymph,Adelphocoris_rapidus,Trigonalus_spp.,Adelphocoris_lineolatus,Orthops,Black_Miridae,Mirid_,Mirid_H007,H013,Pachygrothidae_,Black_miridae_Capsis,Predatory_mirid_H016,H019,fuzzy_nymph,Alydidae,Acanalonidae,Chinch_bug,Cicadellidae,Cercopidae,Delphacidae,Derbidae,Dictyopharidae,Bruchomorpha_spp,Campylenchia,Micrutalis,Piesmatidae,Rhopalidae,H003_Saldidae_Salda,H015_Burrowing_bug_Cynidae,Scutelleridae,Thyreocoridae,Tingidae,unknown_Hemi,inchworm,black_cutworm,caterpillar,green_cloverworm,spiky_caterpillar,parasitized_caterpillar,unknown_caterpillar,Alfalfa_caterpillar_L01,Corn_earworm_Helicoverpa_zea,Green_cloverworm,Soybean_looper_L02,Velvetbean_caterpillar,Pyraloidea,Lycaenidae,micro_lep,_moth,Coleophoridae_casebearing_moth,tiny_maggot,Unknown_Coleopteran,weevil_C002,Epitrix,C044,C020,Chaetocnema,Asphaera,C028_LRG_flea_beetle,unknown_flea_beetle,C038_reddish_weevil,Systena_hudsonias,Systena_frontalis,tiny_flea_beetle,Phyllotreta,C045,C041_Striped_cucumber_beetle,weevil_C010,Grape_colaspis,Click_beetle,BLB,SCR,NCR,Striped_cucumber_beetle_C031,Dectes_stem_borer_C029,Large_weevil_C025,Unknown_Curculionid,C001,C003,C004,C005,C007,C008,C010_5,C011_minute_fungus_beetle,Ceutorhynchini,C016,C017,C019,C023,C026,C030,C035_Curculionid,Languridae,C034_unknown_beetle,Anthicidae,Cryptocephalinae,Meloidae,Nitidulidae,Scarabaeidae,Mordellidae,tortoise_beetle,Leptinotarsa_peninsularis,Ephemeroptera,Conocephalinae,Conocephalini,Copiphorini,Cyrtacanthacridinae,Gomphocerinae,redlegged_GH,differential_GH,Migratory_GH,Twostriped_GH,Mole_cricket_tridactylidae,Oecanthinae,Oedipodinae,Phaneropterinae,Tetrigidae,Nemobiinae,millipede,unknown_insect
5_10_2009,BW1B1,1,1,1,1,1,1,1,7,1,0,0,,,,,,,,,,,2,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,1,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,1,,,,1,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5_10_2009,BW1B2,1,1,1,1,1,2,1,0,0,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,0,,,,0,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5_10_2009,BW1B3,1,1,1,1,1,3,1,2,1,0,1,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,0,,,,0,0,,,,,,,,,,,,,,,,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5_10_2009,BW2B1,1,1,2,1,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,0,,,,0,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5_10_2009,BW2B2,1,1,2,1,1,2,1,7,6,0,0,,,,,,,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,0,,,,0,0,,,,,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5_10_2009,BW2B3,1,1,2,1,1,3,1,3,1,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,,,,,,,,,,,,,0,,,,0,0,,,,,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5_10_2009,BW2M1,1,1,2,1,2,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,0,,,,0,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5_10_2009,BW2M2,1,1,2,1,2,2,1,2,2,0,0,,,,,,,,,,,,,0,0,,,,,0,,,,,,,,,,,,0,,,,,,,0,0,0,,,,,,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,0,,,,1,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5_10_2009,BW2M3,1,1,2,1,2,3,1,27,2,0,0,,,,,,,,,,,,,14,7,,,,,0,,,,,,,,,,,,1,,,,,,,1,1,0,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,0,,,,1,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5_10_2009,BW3B1,1,1,3,1,1,1,1,14,12,0,0,,,,,,,,,,,2,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,,,,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,0,,,,0,1,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
